rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls,ast,g_a,g_pk,g_a_pk,xg,xag,xg_xag,npxg,npxg_xag,matches
56,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-241,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Sirlord Conteh,de GER,FW,Heidenheim,29-061,1996,1,0,33,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,1,0.00,0.00,0.00,0.00,0.00,0.62,0.00,0.62,0.62,0.62,Matches
58,Danny da Costa,de GER,DF,Mainz 05,32-057,1993,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches
59,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-017,1992,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,5,2,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.10,0.01,0.10,Matches
60,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-108,2007,2,1,103,1.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,1,4,0,0.87,0.00,0.87,0.87,0.87,0.23,0.02,0.25,0.23,0.25,Matches
61,Yan Couto,br BRA,DF,Dortmund,23-097,2002,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,4,4,19,0.00,0.50,0.50,0.00,0.50,0.04,0.29,0.33,0.04,0.33,Matches
62,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-075,2007,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Finn Dahmen,de GER,GK,Augsburg,27-165,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Muhammed Damar,de GER,MF,Hoffenheim,21-152,2004,1,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,3,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
65,Ermedin Demirović,ba BIH,FW,Stuttgart,27-167,1998,2,2,154,1.7,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,2,3,8,0.00,0.00,0.00,0.00,0.00,0.12,0.15,0.28,0.12,0.28,Matches
66,Rav van den Berg,nl NED,DF,Köln,21-063,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Luis Díaz,co COL,FW,Bayern Munich,28-238,1997,2,2,180,2.0,2,2,4,2,0,0,1,0,1.6,1.6,0.4,2.0,5,3,21,1.00,1.00,2.00,1.00,2.00,0.79,0.20,0.99,0.79,0.99,Matches
68,Kevin Diks,id IDN,DF,Gladbach,28-337,1996,2,1,104,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
69,Eren Dinkçi,de GER,FW,Freiburg,23-269,2001,2,2,104,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,0,2,8,0.00,0.00,0.00,0.00,0.00,0.17,0.08,0.26,0.17,0.26,Matches
70,Yan Diomandé,ci CIV,FW,RB Leipzig,18-298,2006,2,1,69,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,7,2,4,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
71,Ritsu Doan,jp JPN,FW,Eint Frankfurt,27-084,1998,2,2,159,1.8,2,1,3,2,0,0,0,0,0.9,0.9,1.0,1.9,4,7,12,1.13,0.57,1.70,1.13,1.70,0.51,0.56,1.08,0.51,1.08,Matches
72,Danilho Doekhi,nl NED,DF,Union Berlin,27-070,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,6,1,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches
73,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,30-027,1995,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,7,4,6,0.00,0.00,0.00,0.00,0.00,0.03,0.30,0.33,0.03,0.33,Matches
74,Niklas Dorsch,de GER,MF,Heidenheim,27-236,1998,2,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
75,Adam Dźwigała,pl POL,DF,St. Pauli,29-348,1995,2,2,157,1.7,1,0,1,1,0,0,2,0,0.0,0.0,0.0,0.0,1,2,0,0.57,0.00,0.57,0.57,0.57,0.03,0.00,0.03,0.03,0.03,Matches
76,Claudio Echeverri,ar ARG,MF,Leverkusen,19-249,2006,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Matches
77,Maximilian Eggestein,de GER,MF,Freiburg,28-274,1996,2,2,180,2.0,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,2,11,2,0.50,0.00,0.50,0.50,0.50,0.15,0.22,0.37,0.15,0.37,Matches
78,Daniel Elfadli,ly LBY,DF,Hamburger SV,28-155,1997,2,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Nico Elvedi,ch SUI,DF,Gladbach,28-343,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,14,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
80,Robin Fellhauer,de GER,"MF,DF",Augsburg,27-230,1998,2,2,176,2.0,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,1,7,2,0.00,0.51,0.51,0.00,0.51,0.11,0.08,0.18,0.11,0.18,Matches
81,Kilian Fischer,de GER,DF,Wolfsburg,24-331,2000,2,2,178,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
