rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
71,Ritsu Doan,jp JPN,FW,Eint Frankfurt,27-084,1998,1.8,45,59,76.3,598,244,31,32,96.9,9,15,60.0,3,8,37.5,1,1.0,1.0,0.0,4,5,3,1,7,Matches
72,Danilho Doekhi,nl NED,DF,Union Berlin,27-070,1998,2.0,54,74,73.0,1003,454,22,24,91.7,25,29,86.2,5,17,29.4,0,0.1,0.2,-0.1,1,5,2,0,6,Matches
73,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,30-027,1995,0.6,19,26,73.1,343,120,8,12,66.7,8,9,88.9,2,3,66.7,0,0.2,0.3,-0.2,1,1,3,1,4,Matches
74,Niklas Dorsch,de GER,MF,Heidenheim,27-236,1998,1.3,33,38,86.8,604,106,12,14,85.7,18,20,90.0,3,4,75.0,0,0.0,0.0,0.0,1,4,0,0,6,Matches
75,Adam Dźwigała,pl POL,DF,St. Pauli,29-348,1995,1.7,71,84,84.5,1107,482,40,44,90.9,24,27,88.9,5,8,62.5,0,0.0,0.0,0.0,0,6,0,0,2,Matches
76,Claudio Echeverri,ar ARG,MF,Leverkusen,19-249,2006,0.4,20,21,95.2,271,46,13,14,92.9,6,6,100.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
77,Maximilian Eggestein,de GER,MF,Freiburg,28-274,1996,2.0,88,105,83.8,1382,314,44,55,80.0,34,36,94.4,7,9,77.8,0,0.4,0.2,-0.4,2,5,2,0,11,Matches
78,Daniel Elfadli,ly LBY,DF,Hamburger SV,28-155,1997,1.8,96,97,99.0,1660,422,41,41,100.0,50,50,100.0,4,5,80.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
79,Nico Elvedi,ch SUI,DF,Gladbach,28-343,1996,2.0,129,134,96.3,2361,726,42,44,95.5,78,79,98.7,9,11,81.8,0,0.0,0.1,0.0,1,13,1,0,14,Matches
80,Robin Fellhauer,de GER,"MF,DF",Augsburg,27-230,1998,2.0,32,42,76.2,468,200,17,20,85.0,12,14,85.7,1,2,50.0,1,0.2,0.2,+0.8,1,1,0,0,7,Matches
81,Kilian Fischer,de GER,DF,Wolfsburg,24-331,2000,2.0,71,87,81.6,1326,410,29,35,82.9,32,38,84.2,8,10,80.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
82,Mark Flekken,nl NED,GK,Leverkusen,32-087,1993,2.0,65,80,81.3,1567,1061,16,17,94.1,36,37,97.3,13,25,52.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
83,Jonas Föhrenbach,de GER,DF,Heidenheim,29-225,1996,1.7,28,38,73.7,487,148,13,14,92.9,10,13,76.9,4,7,57.1,0,0.0,0.1,0.0,0,0,1,0,1,Matches
84,Marco Friedl,at AUT,DF,Werder Bremen,27-176,1998,1.0,61,68,89.7,1388,634,16,17,94.1,29,29,100.0,15,19,78.9,0,0.0,0.0,0.0,0,6,0,0,6,Matches
85,Chris Führich,de GER,FW,Stuttgart,27-242,1998,0.8,40,54,74.1,632,168,22,25,88.0,15,19,78.9,3,6,50.0,1,0.2,0.3,+0.8,3,2,3,2,3,Matches
86,Joel Fujita,jp JPN,MF,St. Pauli,23-204,2002,2.0,81,104,77.9,1260,468,43,48,89.6,29,41,70.7,7,12,58.3,1,0.2,0.4,+0.8,2,13,2,0,12,Matches
87,Aleix García,es ESP,"MF,DF",Leverkusen,28-072,1997,1.7,141,164,86.0,2362,625,75,80,93.8,52,59,88.1,10,17,58.8,0,0.0,0.1,0.0,0,10,0,0,9,Matches
88,Jusuf Gazibegović,ba BIH,DF,Köln,25-181,2000,0.3,8,10,80.0,130,67,5,5,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
89,Yannick Gerhardt,de GER,DF,Wolfsburg,31-179,1994,0.0,1,1,100.0,15,13,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
90,Dimitris Giannoulis,gr GRE,"DF,MF",Augsburg,29-326,1995,1.4,34,56,60.7,493,187,15,23,65.2,18,24,75.0,0,3,0.0,0,0.1,0.1,-0.1,1,2,2,1,2,Matches
91,Benedikt Gimber,de GER,"DF,MF",Heidenheim,28-201,1997,2.0,73,88,83.0,1405,489,20,22,90.9,50,53,94.3,3,12,25.0,0,0.0,0.0,0.0,0,6,0,0,5,Matches
92,Matthias Ginter,de GER,DF,Freiburg,31-232,1994,2.0,121,138,87.7,2179,798,46,52,88.5,66,69,95.7,9,16,56.3,0,0.0,0.1,0.0,0,6,0,0,11,Matches
93,Serge Gnabry,de GER,MF,Bayern Munich,30-056,1995,1.7,64,78,82.1,1074,316,32,34,94.1,26,31,83.9,5,7,71.4,2,0.5,0.4,+1.5,4,8,5,0,12,Matches
94,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,24-206,2001,1.8,35,48,72.9,569,101,14,19,73.7,15,15,100.0,2,7,28.6,0,0.1,0.0,-0.1,1,2,2,0,2,Matches
95,Leon Goretzka,de GER,MF,Bayern Munich,30-214,1995,1.5,69,77,89.6,1159,300,36,36,100.0,29,29,100.0,4,8,50.0,0,0.0,0.2,0.0,0,4,2,0,9,Matches
96,Mario Götze,de GER,MF,Eint Frankfurt,33-097,1992,0.2,7,8,87.5,98,16,4,4,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
97,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,34-060,1991,2.0,62,73,84.9,1372,604,21,21,100.0,31,34,91.2,10,15,66.7,0,0.0,0.1,0.0,0,8,4,2,11,Matches
98,Kamil Grabara,pl POL,GK,Wolfsburg,26-243,1999,2.0,50,76,65.8,1388,808,7,7,100.0,25,25,100.0,18,44,40.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
99,Vincenzo Grifo,it ITA,FW,Freiburg,32-154,1993,1.8,72,95,75.8,1269,364,33,38,86.8,22,29,75.9,14,22,63.6,0,0.2,0.2,-0.2,4,6,2,1,9,Matches
100,Álex Grimaldo,es ESP,DF,Leverkusen,29-353,1995,2.0,113,150,75.3,1726,320,60,64,93.8,42,55,76.4,8,23,34.8,1,0.3,0.3,+0.7,4,7,2,1,7,Matches
101,Pascal Groß,de GER,MF,Dortmund,34-085,1991,1.0,49,60,81.7,905,184,20,25,80.0,24,26,92.3,5,9,55.6,1,0.3,0.2,+0.7,2,4,2,0,3,Matches
102,Marco Grüll,at AUT,FW,Werder Bremen,27-064,1998,1.8,32,44,72.7,443,114,18,19,94.7,9,13,69.2,1,5,20.0,1,0.3,0.1,+0.7,4,4,0,0,6,Matches
103,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31-260,1993,0.1,4,4,100.0,53,8,2,2,100.0,2,2,100.0,0,0,,0,0.1,0.1,-0.1,1,0,0,0,0,Matches
104,Serhou Guirassy,gn GUI,FW,Dortmund,29-180,1996,2.0,27,41,65.9,362,65,18,29,62.1,7,8,87.5,1,2,50.0,0,0.0,0.5,0.0,0,3,0,0,1,Matches
105,Péter Gulácsi,hu HUN,GK,RB Leipzig,35-125,1990,2.0,58,73,79.5,1285,751,14,14,100.0,34,35,97.1,10,24,41.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
106,Christian Günter,de GER,DF,Freiburg,32-192,1993,1.9,62,79,78.5,1040,295,32,35,91.4,26,32,81.3,4,10,40.0,1,0.4,0.5,+0.6,6,1,0,0,5,Matches
