rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
97,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,34-060,1991,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,28.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
98,Kamil Grabara,pl POL,GK,Wolfsburg,26-243,1999,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Vincenzo Grifo,it ITA,FW,Freiburg,32-154,1993,1.8,1,2,0,0.0,1.14,0.00,0.00,,26.7,0,1,1,0.9,0.1,0.06,+0.1,-0.1,Matches
100,Álex Grimaldo,es ESP,DF,Leverkusen,29-353,1995,2.0,0,2,0,0.0,1.00,0.00,0.00,,26.6,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
101,Pascal Groß,de GER,MF,Dortmund,34-085,1991,1.0,0,1,1,100.0,0.99,0.99,0.00,0.00,3.5,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
102,Marco Grüll,at AUT,FW,Werder Bremen,27-064,1998,1.8,0,6,2,33.3,3.42,1.14,0.00,0.00,19.5,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
103,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31-260,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Serhou Guirassy,gn GUI,FW,Dortmund,29-180,1996,2.0,3,10,7,70.0,5.11,3.58,0.30,0.43,12.8,0,0,1,3.2,2.4,0.25,-0.2,+0.6,Matches
105,Péter Gulácsi,hu HUN,GK,RB Leipzig,35-125,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Christian Günter,de GER,DF,Freiburg,32-192,1993,1.9,0,1,0,0.0,0.53,0.00,0.00,,22.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
107,Janik Haberer,de GER,MF,Union Berlin,31-159,1994,1.6,0,2,0,0.0,1.22,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
108,Robin Hack,de GER,"FW,MF",Gladbach,27-012,1998,2.0,0,5,2,40.0,2.50,1.00,0.00,0.00,22.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
109,Albian Hajdari,ch SUI,DF,Hoffenheim,22-113,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,28-234,1997,1.2,0,1,0,0.0,0.83,0.00,0.00,,8.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
111,Isak Hansen-Aarøen,no NOR,FW,Werder Bremen,21-017,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
