rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
71,Ritsu Doan,jp JPN,FW,Eint Frankfurt,27-084,1998,1.8,82,1,8,28,47,8,82,9,4,44.4,4,44.4,36,177,106,4,3,2,5,1,53,12,Matches
72,Danilho Doekhi,nl NED,DF,Union Berlin,27-070,1998,2.0,100,12,62,33,6,4,100,1,0,0.0,1,100.0,57,212,75,0,0,0,0,0,58,1,Matches
73,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,30-027,1995,0.6,29,0,2,9,20,3,29,3,2,66.7,1,33.3,22,211,174,7,3,3,1,1,24,6,Matches
74,Niklas Dorsch,de GER,MF,Heidenheim,27-236,1998,1.3,49,6,22,22,6,0,49,1,1,100.0,0,0.0,23,137,55,0,2,0,3,0,20,0,Matches
75,Adam Dźwigała,pl POL,DF,St. Pauli,29-348,1995,1.7,94,8,35,52,7,2,94,0,0,,0,,49,183,101,1,2,0,0,0,66,0,Matches
76,Claudio Echeverri,ar ARG,MF,Leverkusen,19-249,2006,0.4,28,0,2,14,13,0,28,4,1,25.0,3,75.0,19,94,25,0,0,0,0,2,21,1,Matches
77,Maximilian Eggestein,de GER,MF,Freiburg,28-274,1996,2.0,132,4,23,77,32,6,132,2,1,50.0,1,50.0,59,309,141,2,2,1,4,0,80,2,Matches
78,Daniel Elfadli,ly LBY,DF,Hamburger SV,28-155,1997,1.8,125,15,52,73,2,0,125,0,0,,0,,78,353,160,0,1,0,3,0,79,0,Matches
79,Nico Elvedi,ch SUI,DF,Gladbach,28-343,1996,2.0,150,21,52,91,9,0,150,0,0,,0,,80,568,409,2,3,0,0,1,112,0,Matches
80,Robin Fellhauer,de GER,"MF,DF",Augsburg,27-230,1998,2.0,65,2,22,29,15,4,65,2,0,0.0,2,100.0,30,128,67,1,1,0,1,1,32,2,Matches
81,Kilian Fischer,de GER,DF,Wolfsburg,24-331,2000,2.0,108,10,42,40,27,1,108,2,0,0.0,2,100.0,55,300,171,3,1,0,2,1,57,2,Matches
82,Mark Flekken,nl NED,GK,Leverkusen,32-087,1993,2.0,84,68,84,0,0,0,84,0,0,,0,,62,230,101,0,0,0,0,0,49,0,Matches
83,Jonas Föhrenbach,de GER,DF,Heidenheim,29-225,1996,1.7,53,7,25,9,19,0,53,0,0,,0,,18,63,21,1,3,0,2,0,20,3,Matches
84,Marco Friedl,at AUT,DF,Werder Bremen,27-176,1998,1.0,75,19,47,28,0,0,75,0,0,,0,,52,175,68,0,0,0,0,0,52,1,Matches
85,Chris Führich,de GER,FW,Stuttgart,27-242,1998,0.8,60,0,2,29,30,3,60,2,1,50.0,1,50.0,50,366,200,4,6,0,2,0,51,9,Matches
86,Joel Fujita,jp JPN,MF,St. Pauli,23-204,2002,2.0,119,0,21,65,38,4,119,2,0,0.0,2,100.0,65,218,99,3,1,0,6,2,83,7,Matches
87,Aleix García,es ESP,"MF,DF",Leverkusen,28-072,1997,1.7,172,4,29,105,38,1,172,1,1,100.0,0,0.0,111,347,98,1,1,0,0,0,134,4,Matches
88,Jusuf Gazibegović,ba BIH,DF,Köln,25-181,2000,0.3,14,2,9,3,2,0,14,0,0,,0,,4,41,12,1,0,0,1,0,5,0,Matches
89,Yannick Gerhardt,de GER,DF,Wolfsburg,31-179,1994,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
90,Dimitris Giannoulis,gr GRE,"DF,MF",Augsburg,29-326,1995,1.4,77,5,30,29,19,2,77,2,1,50.0,1,50.0,30,222,121,6,2,0,2,0,33,7,Matches
91,Benedikt Gimber,de GER,"DF,MF",Heidenheim,28-201,1997,2.0,108,14,55,51,2,0,108,0,0,,0,,65,325,216,2,1,0,3,0,71,0,Matches
92,Matthias Ginter,de GER,DF,Freiburg,31-232,1994,2.0,158,10,71,74,13,6,158,0,0,,0,,99,426,219,0,0,0,0,1,115,4,Matches
93,Serge Gnabry,de GER,MF,Bayern Munich,30-056,1995,1.7,91,2,12,48,33,3,91,6,3,50.0,3,50.0,71,425,196,6,5,3,1,1,79,7,Matches
94,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,24-206,2001,1.8,65,5,23,21,21,4,65,4,1,25.0,3,75.0,34,242,138,6,4,0,2,2,32,4,Matches
95,Leon Goretzka,de GER,MF,Bayern Munich,30-214,1995,1.5,93,5,14,60,21,2,93,1,1,100.0,0,0.0,55,204,85,1,2,0,2,0,58,7,Matches
