rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
87,Aleix García,es ESP,"MF,DF",Leverkusen,28-072,1997,1.7,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,1,0,Matches
88,Jusuf Gazibegović,ba BIH,DF,Köln,25-181,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
89,Yannick Gerhardt,de GER,DF,Wolfsburg,31-179,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Dimitris Giannoulis,gr GRE,"DF,MF",Augsburg,29-326,1995,1.4,5,3,2,2,1,3,3,100.0,0,3,0,3,2,7,5,0,Matches
91,Benedikt Gimber,de GER,"DF,MF",Heidenheim,28-201,1997,2.0,4,2,2,2,0,4,6,66.7,2,4,3,1,0,4,6,0,Matches
92,Matthias Ginter,de GER,DF,Freiburg,31-232,1994,2.0,0,0,0,0,0,0,0,,0,1,1,0,3,3,11,0,Matches
93,Serge Gnabry,de GER,MF,Bayern Munich,30-056,1995,1.7,4,3,1,3,0,1,1,100.0,0,1,0,1,0,4,0,0,Matches
94,Giorgi Gocholeishvili,ge GEO,MF,Hamburger SV,24-206,2001,1.8,1,0,0,0,1,1,2,50.0,1,1,0,1,1,2,4,1,Matches
95,Leon Goretzka,de GER,MF,Bayern Munich,30-214,1995,1.5,1,1,0,1,0,1,3,33.3,2,3,2,1,3,4,1,0,Matches
96,Mario Götze,de GER,MF,Eint Frankfurt,33-097,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
97,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,34-060,1991,2.0,2,2,2,0,0,1,3,33.3,2,1,0,1,3,5,18,0,Matches
98,Kamil Grabara,pl POL,GK,Wolfsburg,26-243,1999,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
99,Vincenzo Grifo,it ITA,FW,Freiburg,32-154,1993,1.8,1,0,0,1,0,0,1,0.0,1,2,1,1,0,1,1,0,Matches
100,Álex Grimaldo,es ESP,DF,Leverkusen,29-353,1995,2.0,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
101,Pascal Groß,de GER,MF,Dortmund,34-085,1991,1.0,3,1,1,2,0,1,2,50.0,1,3,0,3,0,3,0,0,Matches
102,Marco Grüll,at AUT,FW,Werder Bremen,27-064,1998,1.8,2,1,0,1,1,2,4,50.0,2,1,0,1,1,3,0,0,Matches
103,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31-260,1993,0.1,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
104,Serhou Guirassy,gn GUI,FW,Dortmund,29-180,1996,2.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,5,0,Matches
105,Péter Gulácsi,hu HUN,GK,RB Leipzig,35-125,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
106,Christian Günter,de GER,DF,Freiburg,32-192,1993,1.9,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,2,0,Matches
107,Janik Haberer,de GER,MF,Union Berlin,31-159,1994,1.6,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,3,0,Matches
108,Robin Hack,de GER,"FW,MF",Gladbach,27-012,1998,2.0,1,1,1,0,0,0,0,,0,2,0,2,1,2,3,0,Matches
109,Albian Hajdari,ch SUI,DF,Hoffenheim,22-113,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,Matches
