player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Leon Goretzka,Bayern Munich,MF,137,1.5,0.0,6.0,1.3333333333333333,0.06666666666666667,2.0,0.6666666666666666,0.6666666666666666
Mario Götze,Eint Frankfurt,MF,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeffrey Gouweleeuw,Augsburg,DF,180,2.0,0.0,5.5,0.5,0.0,1.5,1.0,0.0
Kamil Grabara,Wolfsburg,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincenzo Grifo,Freiburg,FW,158,1.8,2.2222222222222223,5.0,1.1111111111111112,0.5,0.0,0.0,2.2222222222222223
Álex Grimaldo,Leverkusen,DF,180,2.0,2.0,3.5,1.0,0.05,0.0,1.0,4.5
Pascal Groß,Dortmund,MF,91,1.0,2.0,3.0,1.0,0.2,0.0,1.0,0.0
Marco Grüll,Werder Bremen,FW,158,1.8,2.2222222222222223,3.333333333333333,3.333333333333333,0.2777777777777778,0.5555555555555556,0.5555555555555556,1.1111111111111112
Raphaël Guerreiro,Bayern Munich,MF,5,0.1,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Serhou Guirassy,Dortmund,FW,176,2.0,0.0,0.5,5.0,1.6,0.0,0.0,2.5
Péter Gulácsi,RB Leipzig,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Günter,Freiburg,DF,170,1.9,3.1578947368421053,2.6315789473684212,0.5263157894736842,0.0,0.0,0.0,1.0526315789473684
Janik Haberer,Union Berlin,MF,147,1.6,0.0,1.25,1.25,0.0625,0.625,0.0,0.0
Robin Hack,Gladbach,"FW,MF",180,2.0,4.0,7.0,2.5,0.15,0.5,0.5,4.0
Albian Hajdari,Hoffenheim,DF,19,0.2,0.0,5.0,0.0,0.0,10.0,0.0,0.0
Andreas Hanche-Olsen,Mainz 05,DF,109,1.2,0.8333333333333334,1.6666666666666667,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0
Isak Hansen-Aarøen,Werder Bremen,FW,2,0.0,,,,,,,
Ramon Hendriks,Stuttgart,DF,99,1.1,0.0,1.8181818181818181,0.0,0.0,0.0,0.0,0.9090909090909091
Daniel Heuer Fernandes,Hamburger SV,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piero Hincapié,Leverkusen,DF,90,1.0,0.0,8.0,2.0,0.4,2.0,0.0,2.0
Nicolas Höfler,Freiburg,MF,22,0.2,0.0,10.0,5.0,0.0,0.0,0.0,0.0
Lucas Höler,Freiburg,FW,174,1.9,0.0,2.1052631578947367,2.6315789473684212,0.4210526315789474,0.0,0.0,0.0
Benedict Hollerbach,Mainz 05,FW,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franck Honorat,Gladbach,"FW,MF",180,2.0,3.0,6.0,1.5,0.15,0.0,1.0,4.5
Mathias Honsak,Heidenheim,FW,96,1.1,0.0,0.0,2.727272727272727,0.2727272727272727,1.8181818181818181,1.8181818181818181,0.0
Andreas Hountondji,St. Pauli,FW,135,1.5,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.19999999999999998,0.0,0.0,3.3333333333333335
Robin Hranáč,Hoffenheim,DF,145,1.6,0.625,1.25,0.0,0.0,0.0,1.25,0.0
